station_nbr,date,tmax,tmin,tavg,dewpoint,wetbulb,heat,cool,codesum,snowfall,preciptotal,stnpressure,sealevel,resultspeed,resultdir,avgspeed
10,8/30/2012,92,77,85,74,77,0,20,TSRA RA SQ,0,0.22,30.04,30.05,5.1,11,5.7
11,8/30/2012,91,74,83,75,77,0,18,BR,0,0,30.01,30.06,3.2,9,3.8
12,8/30/2012,89,75,82,75,77,0,17,RA BR,0,0.01,30.01,30.06,3.2,11,3.8
13,8/30/2012,93,61,77,40,55,0,12,RA,0,0.00001,24.3,29.87,2.1,26,7.4
14,8/30/2012,96,69,83,58,67,0,18, ,0,0,28.5,29.84,8.8,4,9.2
15,8/30/2012,82,45,64,51,57,1,0, ,0,0,29.6,29.97,4,23,4.7
16,8/30/2012,82,52,67,51,59,0,2, ,0,0,29.85,29.95,7.3,25,7.7
17,8/30/2012,97,64,81,62,69,0,16, ,0,0,29.17,29.86,6.2,5,6.8
18,8/30/2012,98,77,88,62,71,0,23, ,0,0,29.23,29.74,10,2,10.4
19,8/30/2012,91,67,79,61,67,0,14, ,0,0,29.21,29.96,12.9,21,13.1
20,8/30/2012,99,74,87,62,71,0,22, ,0,0,29.04,29.73,7.6,36,8.6
1,8/31/2012,92,62,77,55,64,0,12, ,0,0,29.73,29.88,9.1,23,9.3
2,8/31/2012,83,63,73,54,62,0,8, ,0,0,28.87,29.92,13.6,26,13.9
3,8/31/2012,90,73,82,68,72,0,17,RA BR,0,0.09,29.11,29.8,8.9,33,10.3
4,8/31/2012,100,73,87,66,73,0,22, ,0,0,29.23,29.88,2.5,17,4.1
6,8/31/2012,99,71,85,68,73,0,20, ,0,0,29.39,29.87,6.6,18,7
7,8/31/2012,94,70,82,64,70,0,17, ,0,0,28.54,29.86,4.5,36,6.1
8,8/31/2012,99,73,86.244908,72,M,0,21.244908,TSRA RA BR HZ,0,0.84,29.54,30.4879386,3.7,19,5.8
9,8/31/2012,86,61,74,50,61,0,9, ,0,0,29.32,30.05,5,2,6
10,8/31/2012,91,80,86,75,78,0,21,BR,0,0,30.12,30.16,4.3,8,5.3
11,8/31/2012,89,74,82,75,77,0,17,BR,0,0,30.12,30.16,3.3,8,3.5
12,8/31/2012,89,76,83,75,77,0,18,BR,0,0,30.11,30.17,2.9,7,3
13,8/31/2012,89,55,72,32,52,0,7, ,0,0,24.33,29.93,13.8,17,14.6
14,8/31/2012,95,71,83,64,70,0,18, ,0,0,28.53,29.85,5.6,35,6.7
15,8/31/2012,87,51,69,56,62,0,4,RA,0,0.00001,29.49,29.86,3.2,22,4.1
16,8/31/2012,90,63,77,55,64,0,12, ,0,0,29.75,29.84,8.4,26,8.7
17,8/31/2012,91,73,82,67,71,0,17,RA BR,0,0.15,29.18,29.85,4,36,4.9
18,8/31/2012,100,80,90,65,73,0,25, ,0,0,29.36,29.85,1.5,19,4.7
19,8/31/2012,92,68,80,61,66,0,15, ,0,0,29.3,30.02,2.3,29,8.4
20,8/31/2012,101,78,90,65,73,0,25, ,0,0,29.18,29.85,2.2,20,4.7
1,9/1/2012,78,60,69,57,63,0,4, ,0,0,29.85,30.04,3.8,7,4.7
2,9/1/2012,80,63,72,59,64,0,7, ,0,0,28.93,30.03,3.2,8,6.1
3,9/1/2012,99,77,88,63,71,0,23, ,0,0,29.2,29.89,7.6,29,8.3
4,9/1/2012,101,78,90,71,76,0,25, ,0,0,29.33,29.99,3.8,17,6.6
6,9/1/2012,98,76,87,72,76,0,22,BR,0,0,29.49,29.99,9.2,18,9.2
7,9/1/2012,99,71,85,63,71,0,20, ,0,0,28.59,29.92,2.2,11,3.1
8,9/1/2012,95,77,86.244908,72,75,0,21.244908,BR HZ,0,0,29.66,30.6117894,5.1,19,5.3
9,9/1/2012,86,62,74,49,60,0,9, ,0,0,29.31,30.07,4.8,10,5.2
10,9/1/2012,93,78,86,73,77,0,21,BR,0,0,30.11,30.12,3.2,11,4.6
11,9/1/2012,91,73,82,73,75,0,17,FG+ FG BR,0,0,30.09,30.12,2.2,10,2.7
12,9/1/2012,91,74,83,73,76,0,18,FG+ FG BR,0,0,30.09,30.13,2.4,10,2.9
13,9/1/2012,91,59,75,38,55,0,10,RA,0,0.00001,24.32,29.91,3.4,18,7.5
14,9/1/2012,101,71,86,61,70,0,21, ,0,0,28.59,29.92,2,13,3.5
15,9/1/2012,80,56,68,58,62,0,3,BR,0,0,29.62,30.02,2.1,11,2.9
16,9/1/2012,76,56,66,58,62,0,1, ,0,0,29.88,30,3.3,7,5.1
17,9/1/2012,98,73,86,63,70,0,21, ,0,0,29.26,29.94,1.3,26,2.7
18,9/1/2012,99,80,90,68,75,0,25, ,0,0,29.45,29.95,7.9,20,8.1
19,9/1/2012,74,68,71,60,65,0,6, ,0,0,29.31,30.06,12.2,5,12.2
20,9/1/2012,99,79,89,68,75,0,24, ,0,0,29.26,29.95,3.7,18,6
1,9/2/2012,78,57,68,57,61,0,3,RA FG BR,0,0.01,29.96,30.13,2.4,5,3.4
2,9/2/2012,75,59,67,56,60,0,2, ,0,0,29.03,30.12,1,8,4.1
3,9/2/2012,103,70,87,66,73,0,22, ,0,0,29.15,29.85,1.9,16,4.3
4,9/2/2012,100,75,88,68,74,0,23, ,0,0,29.29,29.96,3.6,18,5.6
6,9/2/2012,99,74,87,69,75,0,22,BR,0,0,29.45,29.96,8.6,18,8.9
7,9/2/2012,102,72,87,62,70,0,22, ,0,0,28.53,29.87,6.3,19,6.9
8,9/2/2012,95,79,87.244908,71,75,0,22.244908, ,0,0,29.64,30.5911476,6.3,19,6.5
9,9/2/2012,89,60,75,61,66,0,10, ,0,0,29.15,29.92,7.8,14,8
10,9/2/2012,93,77,85,72,75,0,20, ,0,0,30.03,30.04,5.2,17,6.8
11,9/2/2012,91,72,82,73,75,0,17,BR,0,0,30.01,30.04,2.1,17,3.1
12,9/2/2012,91,75,83,72,75,0,18, ,0,0.00001,30.01,30.05,2.8,16,3.3
13,9/2/2012,90,60,75,45,57,0,10,TSRA,0,0.00001,24.35,29.95,0.4,7,5.4
14,9/2/2012,102,74,88,61,71,0,23, ,0,0,28.53,29.87,6.1,18,6.5
15,9/2/2012,77,55,66,56,59,0,1,RA,0,0.00001,29.73,30.12,0.9,11,2.4
16,9/2/2012,75,56,66,58,60,0,1,FG+ BR,0,0,29.98,30.09,2.4,12,3.6
17,9/2/2012,103,70,87,65,72,0,22, ,0,0,29.21,29.9,1.5,21,2.6
18,9/2/2012,100,79,90,67,74,0,25, ,0,0,29.41,29.92,7.8,20,8.1
19,9/2/2012,80,69,75,64,67,0,10, ,0,0,29.21,29.96,8.6,6,10.1
20,9/2/2012,101,79,90,67,74,0,25, ,0,0,29.22,29.92,5.2,20,7
1,9/3/2012,80,60,70,57,62,0,5,BR,0,0,30.03,30.2,2,9,3.6
2,9/3/2012,74,57,66,56,60,0,1,FG+,0,0,29.1,30.19,3,13,5.7
3,9/3/2012,104,75,90,65,73,0,25, ,0,0,29.12,29.82,5.8,18,6.5
4,9/3/2012,101,75,88,68,74,0,23, ,0,0,29.26,29.92,3.5,18,6.1
6,9/3/2012,99,73,86,69,74,0,21, ,0,0,29.41,29.92,8.1,18,8.4
7,9/3/2012,102,78,90,62,72,0,25, ,0,0,28.51,29.84,9.3,20,10.2
8,9/3/2012,97,73,85.244908,71,75,0,20.244908,BR HZ,0,0,29.6,30.549864,5.2,19,5.7
9,9/3/2012,91,69,80,62,68,0,15, ,0,0,29.11,29.86,0.7,3,2.9
10,9/3/2012,94,78,86,69,74,0,21,TS,0,0,29.99,30.01,6.5,17,7.8
11,9/3/2012,92,73,83,72,74,0,18,TS,0,0,29.98,30.01,2.1,17,3
12,9/3/2012,92,73,83,70,73,0,18, ,0,0,29.98,30.02,4.5,16,5.5
13,9/3/2012,88,59,74,43,56,0,9, ,0,0,24.37,29.98,2.2,33,7.8
14,9/3/2012,104,79,92,62,72,0,27, ,0,0,28.51,29.84,6.4,19,7.7
15,9/3/2012,78,58,68,56,60,0,3, ,0,0,29.8,30.18,2.2,14,3.8
16,9/3/2012,74,57,66,58,61,0,1,FG+ FG BR,0,0.01,30.06,30.16,4.6,13,6.4
17,9/3/2012,106,72,89,65,72,0,24, ,0,0,29.18,29.86,2,20,2.3
18,9/3/2012,100,79,90,65,73,0,25, ,0,0,29.39,29.89,6.6,19,7.5
19,9/3/2012,83,67,75,68,70,0,10,BR,0,0.41,29.18,29.91,2.4,10,4.3
20,9/3/2012,101,79,90,65,73,0,25, ,0,0,29.2,29.89,4.2,18,5.9
1,9/4/2012,74,63,69,64,65,0,4,RA BR,0,0.69,29.91,30.04,0.9,14,2
2,9/4/2012,72,61,67,65,66,0,2,RA FG+ BR,0,0.63,28.98,30.03,4.6,17,5.8
3,9/4/2012,104,81,93,64,73,0,28, ,0,0,29.09,29.79,5.8,18,6.5
4,9/4/2012,103,76,90,67,74,0,25, ,0,0,29.21,29.88,4.8,18,6.7
6,9/4/2012,101,74,88,68,74,0,23,HZ,0,0,29.37,29.88,9.6,18,10.2
7,9/4/2012,103,75,89,60,70,0,24, ,0,0.00001,28.49,29.81,4.2,19,8.1
8,9/4/2012,99,73,86.244908,69,74,0,21.244908,BR,0,0,29.56,30.5085804,5.5,19,6
9,9/4/2012,92,67,80,59,66,0,15,BR,0,0.00001,29.05,29.79,3,25,6.2
10,9/4/2012,93,78,86,70,75,0,21, ,0,0,29.96,29.98,5.4,18,7.7
11,9/4/2012,92,72,82,72,74,0,17, ,0,0,29.95,29.98,2.3,21,3.4
12,9/4/2012,92,74,83,70,74,0,18, ,0,0,29.95,29.98,3.1,19,4.7
13,9/4/2012,88,56,72,32,52,0,7, ,0,0,24.32,29.92,2.4,25,6
14,9/4/2012,104,78,91,61,70,0,26, ,0,0,28.49,29.81,4,18,6.8
15,9/4/2012,65,59,62,61,62,3,0,RA FG BR,0,0.45,29.68,30.03,0.7,14,1
16,9/4/2012,72,61,67,64,65,0,2,RA BR,0,0.18,29.93,30.01,5.4,14,5.7
17,9/4/2012,105,73,89,63,72,0,24, ,0,0,29.15,29.84,1.8,17,2.8
18,9/4/2012,101,80,91,66,74,0,26, ,0,0,29.34,29.85,8.1,18,9
19,9/4/2012,85,65,75,68,70,0,10,TS TSRA BR,0,0.52,29.11,29.87,3,16,7.9
20,9/4/2012,103,79,91,66,74,0,26, ,0,0,29.15,29.85,4.2,17,6.2
1,9/5/2012,82,69,76,68,70,0,11,RA BR,0,0.42,29.62,29.78,3.1,23,7
2,9/5/2012,79,66,73,67,69,0,8,TSRA RA BR VCTS,0,0.79,28.73,29.8,5.9,24,8.5
3,9/5/2012,103,74,89,67,74,0,24,TS,0,0.04,29.09,29.79,1.4,11,3.7
4,9/5/2012,103,76,90,66,73,0,25, ,0,0,29.18,29.84,2.9,15,5.7
6,9/5/2012,101,74,88,67,74,0,23, ,0,0,29.34,29.84,6.9,18,7.7
7,9/5/2012,100,72,86,65,72,0,21, ,0,0.8,28.48,29.81,1.4,12,6.9
8,9/5/2012,99,73,86.244908,69,74,0,21.244908,FG BR,0,0,29.52,30.4672968,4.7,19,5.3
9,9/5/2012,85,61,73,51,60,0,8,RA,0,0.00001,29.09,29.82,5.2,30,7.8
10,9/5/2012,94,78,86,71,76,0,21, ,0,0,29.91,29.94,5.6,16,6.5
11,9/5/2012,91,71,81,72,75,0,16,BR,0,0,29.91,29.94,3,14,4.3
12,9/5/2012,90,73,82,72,75,0,17, ,0,0,29.91,29.95,3.7,15,4
13,9/5/2012,84,54,69,27,48,0,4, ,0,0,24.36,29.99,4.9,16,8.7
14,9/5/2012,102,75,89,64,72,0,24,TSRA,0,0.02,28.48,29.81,1.4,7,7.4
15,9/5/2012,80,64,72,66,68,0,7,RA BR,0,0,29.39,29.76,2.6,29,5.6
16,9/5/2012,83,67,75,69,70,0,10,RA BR,0,0.54,29.65,29.75,4,21,6.9
17,9/5/2012,103,76,90,66,72,0,25, ,0,0.00001,29.15,29.83,1.4,12,2.6
18,9/5/2012,102,81,92,63,73,0,27, ,0,0,29.31,29.82,7,18,7.8
19,9/5/2012,78,65,72,64,67,0,7, ,0,0.00001,29.08,29.8,2.3,16,4.9
20,9/5/2012,104,78,91,63,72,0,26, ,0,0,29.13,29.81,2.4,17,5.4
1,9/6/2012,82,66,74,64,67,0,9, ,0,0.00001,29.72,29.88,2.7,23,3.7
2,9/6/2012,77,62,70,63,65,0,5, ,0,0,28.82,29.89,4.3,22,5.7
3,9/6/2012,98,77,88,68,74,0,23, ,0,0,29.13,29.82,1.9,21,5.4
4,9/6/2012,102,74,88,66,73,0,23, ,0,0,29.21,29.87,1.8,16,3.7
6,9/6/2012,101,70,86,68,73,0,21, ,0,0,29.36,29.86,2.7,17,4.2
7,9/6/2012,95,75,85,63,70,0,20, ,0,0,28.53,29.85,0.8,15,5.6
8,9/6/2012,97,73,85.244908,69,74,0,20.244908,BR,0,0,29.54,30.4879386,3.7,19,3.9
9,9/6/2012,81,55,68,50,58,0,3,RA,0,0.00001,29.16,29.91,0.9,30,3.2
10,9/6/2012,92,76,84,72,75,0,19,RA,0,0.1,29.95,29.96,3.6,19,6.3
11,9/6/2012,92,71,82,72,75,0,17,RA,0,0.00001,29.93,29.97,0.7,14,2.9
12,9/6/2012,91,74,83,72,75,0,18,TS,0,0,29.93,29.97,2.2,16,3.5
13,9/6/2012,88,55,72,24,50,0,7, ,0,0,24.29,29.89,1.9,26,6.2
14,9/6/2012,98,77,88,62,70,0,23, ,0,0.00001,28.52,29.85,0.7,3,5.6
15,9/6/2012,77,64,71,65,66,0,6,RA BR,0,0.07,29.49,29.86,1,18,1.9
16,9/6/2012,79,65,72,64,67,0,7, ,0,0,29.75,29.85,1.8,19,3.3
17,9/6/2012,97,75,86,67,73,0,21, ,0,0.01,29.2,29.87,1.2,22,3.4
18,9/6/2012,105,80,93,62,72,0,28, ,0,0,29.34,29.85,3,15,5.6
19,9/6/2012,81,65,73,62,66,0,8, ,0,0,29.16,29.89,1.6,2,5.5
20,9/6/2012,105,77,91,62,72,0,26, ,0,0,29.15,29.84,2,14,4.4
1,9/7/2012,87,66,77,65,69,0,12,BR,0,0,29.75,29.9,2.2,21,3
2,9/7/2012,81,65,73,66,68,0,8,BR,0,0.00001,28.85,29.92,4,23,5.4
3,9/7/2012,103,64,84,65,70,0,19,TS TSRA BR,0,0.07,29.15,29.83,1.7,35,12.3
4,9/7/2012,103,75,89,64,72,0,24, ,0,0,29.16,29.83,1.1,16,3
6,9/7/2012,102,71,87,66,72,0,22, ,0,0,29.31,29.82,3.7,18,4.3
7,9/7/2012,101,63,82,61,68,0,17,TSRA BR HZ VCTS,0,0.25,28.56,29.85,4,33,13.3
8,9/7/2012,99,73,86.244908,69,74,0,21.244908,BR HZ,0,0,29.51,30.4569759,4.4,19,4.5
9,9/7/2012,72,54,63,48,55,2,0,RA,0,0.02,29.23,29.97,9.3,34,10.5
10,9/7/2012,93,77,85,72,75,0,20, ,0,0.06,29.91,29.93,4.8,21,6.4
11,9/7/2012,91,72,82,73,75,0,17,RA BR,0,0.06,29.91,29.93,2.7,20,4.2
12,9/7/2012,91,75,83,73,76,0,18,RA,0,0.53,29.9,29.94,1.8,18,3.5
13,9/7/2012,70,53,62,40,50,3,0, ,0,0,24.49,30.17,5,35,7.7
14,9/7/2012,105,65,85,60,67,0,20,TS HZ,0,0.00001,28.54,29.84,5.9,34,14.6
15,9/7/2012,86,60,73,62,66,0,8,FG+ BR,0,0,29.52,29.89,1.4,24,2.1
16,9/7/2012,84,65,75,66,69,0,10,FG BR,0,0,29.77,29.87,2.5,17,3.5
17,9/7/2012,105,65,85,63,69,0,20,BR VCTS,0,0.09,29.22,29.87,1.4,1,7.7
18,9/7/2012,104,80,92,62,72,0,27,BLDU,0,0,29.32,29.81,3,17,7.9
19,9/7/2012,77,57,67,60,62,0,2,RA BR,0,0.19,29.1,29.84,3.6,35,5.8
20,9/7/2012,105,81,93,62,72,0,28, ,0,0,29.13,29.8,2,20,7.2
1,9/8/2012,85,65,75,67,70,0,10,RA BR,0,0.19,29.62,29.76,7.6,20,9.2
2,9/8/2012,78,60,69,66,68,0,4,RA BR,0,0.54,28.72,29.77,12.6,20,14.7
3,9/8/2012,83,56,70,51,59,0,5, ,0,0,29.36,30.07,6.3,36,7.1
4,9/8/2012,89,73,81,55,65,0,16, ,0,0,29.32,29.97,6.3,1,7.8
6,9/8/2012,89,65,77,57,66,0,12, ,0,0,29.47,29.96,12.2,36,13.5
7,9/8/2012,82,57,70,49,58,0,5, ,0,0,28.77,30.12,7.8,36,8.1
8,9/8/2012,88,72,80.244908,63,70,0,15.244908, ,0,0,29.6,30.549864,6.1,36,7.7
9,9/8/2012,79,49,64,46,54,1,0, ,0,0,29.19,29.94,10.2,30,12.1
10,9/8/2012,93,77,85,72,76,0,20,TSRA RA,0,0.07,29.84,29.87,8.3,21,8.9
11,9/8/2012,92,72,82,74,75,0,17,RA BR,0,0.1,29.83,29.87,4.3,22,5.1
12,9/8/2012,92,74,83,73,75,0,18,RA BR,0,0.11,29.83,29.88,5.5,21,5.9
13,9/8/2012,78,45,62,34,48,3,0, ,0,0,24.5,30.24,0.6,14,4.2
14,9/8/2012,83,59,71,46,57,0,6, ,0,0,28.76,30.11,10.3,36,10.4
15,9/8/2012,84,61,73,65,67,0,8,RA BR,0,0.34,29.39,29.73,7.2,17,8.6
16,9/8/2012,84,64,74,68,70,0,9,RA BR,0,0.04,29.65,29.74,9.6,19,11.2
17,9/8/2012,83,55,69,49,58,0,4, ,0,0,29.43,30.12,5.8,1,5.9
18,9/8/2012,87,67,77,52,62,0,12,RA,0,0.01,29.54,30.03,12.3,2,12.7
19,9/8/2012,70,52,61,50,55,4,0,RA BR,0,0.26,29.12,29.86,8.9,30,9.4
20,9/8/2012,87,67,77,51,62,0,12,RA,0,0.00001,29.34,30.02,12.1,1,12.4
1,9/9/2012,75,56,66,55,59,0,1,RA,0,0.01,29.65,29.82,2.6,30,4.6
2,9/9/2012,72,58,65,53,57,0,0,RA,0,0.00001,28.73,29.83,5.7,31,6.3
3,9/9/2012,89,56,73,50,60,0,8, ,0,0,29.36,30.07,3.5,2,5.2
4,9/9/2012,93,67,80,42,59,0,15, ,0,0,29.39,30.05,3.1,1,4.4
6,9/9/2012,92,55,74,48,59,0,9, ,0,0,29.54,30.05,3.8,2,4.6
7,9/9/2012,90,52,71,46,58,0,6, ,0,0,28.74,30.09,0.8,14,4.2
8,9/9/2012,90,59,74.744908,48,60,0,9.744908, ,0,0,29.7,30.653073,2.3,4,2.3
9,9/9/2012,75,51,63,48,54,2,0, ,0,0,29.37,30.13,3.1,31,5.3
10,9/9/2012,91,78,85,72,75,0,20,TSRA RA,0,0.08,29.83,29.86,5.4,28,8.8
11,9/9/2012,88,73,81,73,75,0,16,RA BR,0,0.18,29.81,29.87,4,28,5.4
12,9/9/2012,89,78,84,73,76,0,19,RA BR,0,0.12,29.8,29.86,4.1,28,5.8
13,9/9/2012,85,48,67,27,48,0,2, ,0,0,24.37,30.05,10.1,17,11.1
14,9/9/2012,91,50,71,42,57,0,6,HZ,0,0,28.72,30.08,1.8,2,4.6
15,9/9/2012,75,52,64,53,57,1,0,RA,0,0.05,29.42,29.81,2.3,31,2.6
16,9/9/2012,74,53,64,55,59,1,0,RA,0,0.02,29.67,29.78,3.4,31,4.4
17,9/9/2012,93,51,72,47,58,0,7, ,0,0,29.42,30.11,3.6,3,4.1
18,9/9/2012,90,59,75,50,61,0,10, ,0,0,29.57,30.07,1.9,4,2.4
19,9/9/2012,69,53,61,50,55,4,0, ,0,0,29.34,30.05,6.1,1,7.4
20,9/9/2012,91,58,75,47,59,0,10, ,0,0,29.36,30.07,2.7,35,3.8
1,9/10/2012,68,53,61,46,53,4,0, ,0,0,29.78,29.96,6.9,33,7.2
2,9/10/2012,66,50,58,44,51,7,0, ,0,0,28.86,29.97,10.9,33,11.4
3,9/10/2012,91,54,73,52,61,0,8, ,0,0,29.33,30.04,3.7,14,4.9
4,9/10/2012,95,61,78,46,60,0,13, ,0,0,29.36,30.03,0.7,10,2.9
6,9/10/2012,93,52,73,49,60,0,8, ,0,0,29.52,30.03,1.5,12,3.7
7,9/10/2012,91,62,77,46,59,0,12, ,0,0,28.68,30.03,5.2,19,6.6
8,9/10/2012,91,59,75.244908,55,63,0,10.244908, ,0,0,29.69,30.6427521,2,12,2.7
9,9/10/2012,84,52,68,48,57,0,3, ,0,0,29.17,29.95,11.4,17,11.8
10,9/10/2012,87,76,82,66,71,0,17, ,0,0,29.98,30.01,9.3,3,10.2
11,9/10/2012,85,68,77,66,69,0,12, ,0,0,29.98,30.02,6.2,4,7
12,9/10/2012,86,76,81,65,71,0,16, ,0,0,29.96,30.02,7.2,5,7.5
13,9/10/2012,89,57,73,26,51,0,8, ,0,0,24.24,29.84,4,18,7.4
14,9/10/2012,94,57,76,44,58,0,11, ,0,0,28.67,30.03,4,17,5.3
15,9/10/2012,67,48,58,46,52,7,0, ,0,0,29.57,29.96,8.3,31,8.5
16,9/10/2012,69,51,60,47,53,5,0, ,0,0,29.79,29.92,9.4,33,9.6
17,9/10/2012,93,55,74,51,61,0,9, ,0,0,29.39,30.08,3,15,4.2
18,9/10/2012,92,63,78,49,62,0,13, ,0,0,29.53,30.04,3.9,14,4.4
19,9/10/2012,75,55,65,51,57,0,0, ,0,0,29.39,30.13,6.3,19,7.7
20,9/10/2012,94,63,79,45,60,0,14, ,0,0,29.34,30.04,3.2,15,4.4
1,9/11/2012,74,49,62,43,52,3,0, ,0,0,30.01,30.2,1.8,26,3
2,9/11/2012,69,46,58,43,50,7,0, ,0,0,29.1,30.21,7,29,8.4
3,9/11/2012,92,67,80,54,64,0,15, ,0,0,29.28,29.99,12.1,17,12.3
4,9/11/2012,93,64,79,58,66,0,14, ,0,0,29.34,30.01,2.2,13,3.2
6,9/11/2012,94,56,75,58,65,0,10, ,0,0,29.49,30.01,3.1,14,3.9
7,9/11/2012,92,63,78,47,61,0,13, ,0,0,28.61,29.96,15.3,18,15.7
8,9/11/2012,91,59,75.244908,60,66,0,10.244908, ,0,0,29.67,30.6221103,3.1,14,3.7
9,9/11/2012,96,62,79,50,62,0,14, ,0,0,29.03,29.78,11.2,18,12
10,9/11/2012,88,78,83,63,70,0,18, ,0,0,30.09,30.13,10.4,7,10.7
11,9/11/2012,86,65,76,64,68,0,11, ,0,0,30.09,30.15,7.1,7,7.4
12,9/11/2012,86,75,81,63,69,0,16,RA,0,0.00001,30.09,30.14,9.7,8,10.1
13,9/11/2012,87,59,73,40,54,0,8,RA,0,0.02,24.23,29.81,1.8,33,6.3
14,9/11/2012,93,56,75,46,59,0,10, ,0,0,28.62,29.97,12.1,17,12.7
15,9/11/2012,74,40,57,43,50,8,0, ,0,0,29.78,30.19,3.2,30,4.1
16,9/11/2012,73,47,60,45,52,5,0, ,0,0,30.03,30.16,2.4,30,4
17,9/11/2012,93,59,76,51,62,0,11, ,0,0,29.35,30.04,7.1,18,7.3
18,9/11/2012,92,71,82,52,64,0,17, ,0,0,29.51,30.02,9.5,16,10.5
19,9/11/2012,83,58,71,52,60,0,6, ,0,0,29.31,30.06,11.9,21,12.4
20,9/11/2012,94,68,81,51,63,0,16, ,0,0,29.31,30.01,7,15,8.4
1,9/12/2012,80,49,65,49,56,0,0, ,0,0,30.16,30.34,1.2,20,2.2
2,9/12/2012,75,54,65,49,56,0,0, ,0,0,29.23,30.34,5.7,26,6.9
3,9/12/2012,91,70,81,57,66,0,16, ,0,0,29.29,29.99,13,17,13.5
4,9/12/2012,99,75,87,68,73,0,22,TSRA,0,0.00001,29.31,29.97,4,14,6.1
6,9/12/2012,97,71,84,69,73,0,19, ,0,0,29.46,29.97,6.3,15,6.8
7,9/12/2012,92,68,80,56,65,0,15, ,0,0,28.62,29.95,15.8,17,16.2
8,9/12/2012,95,72,83.744908,70,74,0,18.744908,VCTS,0,0,29.64,30.5911476,4.5,17,4.8
9,9/12/2012,78,55,67,51,55,0,2,RA,0,0.12,29.41,30.13,1.6,29,4.1
10,9/12/2012,87,76,82,69,73,0,17,RA,0,0.16,30.14,30.16,11.1,5,11.7
11,9/12/2012,85,70,78,68,71,0,13,RA,0,0.79,30.14,30.17,7.6,5,9.1
12,9/12/2012,86,74,80,68,72,0,15,RA,0,0.23,30.12,30.17,9.3,6,9.9
13,9/12/2012,60,49,55,49,51,10,0,RA BR,0,1.35,24.46,30.19,6.1,13,7.7
14,9/12/2012,93,66,80,56,65,0,15, ,0,0,28.62,29.96,13,17,13.4
15,9/12/2012,78,40,59,48,53,6,0, ,0,0,29.93,30.32,1.2,16,1.9
16,9/12/2012,75,46,61,51,56,4,0, ,0,0,30.19,30.3,2,15,2.8
17,9/12/2012,92,66,79,56,65,0,14, ,0,0,29.36,30.03,8.1,18,8.2
18,9/12/2012,96,71,84,61,69,0,19, ,0,0,29.48,29.99,9.2,15,9.9
19,9/12/2012,86,64,75,56,63,0,10, ,0,0,29.36,30.08,7.2,21,11.8
20,9/12/2012,95,67,81,61,68,0,16, ,0,0,29.28,29.99,6.1,13,6.9
1,9/13/2012,85,57,71,57,62,0,6, ,0,0,30.16,30.31,5.3,21,5.7
2,9/13/2012,78,56,67,56,60,0,2, ,0,0,29.24,30.33,8.5,24,8.8
3,9/13/2012,85,62,74,60,64,0,9,TS RA,0,0.00001,29.42,30.11,5,1,8.6
4,9/13/2012,87,71,79,71,73,0,14,TS TSRA RA,0,0.38,29.39,30.04,1.9,14,4.8
6,9/13/2012,86,72,79,72,73,0,14,TS TSRA RA HZ,0,0.08,29.54,30.04,3.2,13,7.3
7,9/13/2012,79,58,69,55,58,0,4,RA BR,0,1.07,28.82,30.16,12.4,36,14
8,9/13/2012,88,72,80.244908,71,72,0,15.244908,TS TSRA RA BR,0,0.82,29.7,30.653073,1.7,15,2.6
9,9/13/2012,76,52,64,41,52,1,0, ,0,0,29.52,30.27,3.8,28,4.1
10,9/13/2012,84,72,78,72,74,0,13,RA BR,0,0.62,30.11,30.13,7.9,3,8.8
11,9/13/2012,81,71,76,70,72,0,11,RA BR,0,2.35,30.11,30.15,4.8,4,7.5
12,9/13/2012,82,72,77,70,72,0,12,RA BR,0,1.06,30.09,30.14,5.2,5,6.6
13,9/13/2012,68,48,58,42,49,7,0, ,0,0,24.61,30.4,1,5,4.3
14,9/13/2012,77,58,68,55,59,0,3,TS RA BR,0,0.77,28.8,30.15,13.1,36,14.4
15,9/13/2012,83,46,65,54,58,0,0,FG+ BR,0,0,29.92,30.29,1.5,19,1.9
16,9/13/2012,83,57,70,58,63,0,5,BR,0,0.01,30.18,30.28,4.2,21,5.1
17,9/13/2012,84,61,73,59,63,0,8,RA VCTS,0,0.2,29.49,30.16,3.5,2,5.3
18,9/13/2012,87,73,80,66,71,0,15,TSRA,0,0.02,29.57,30.06,1.2,32,10.5
19,9/13/2012,64,53,59,49,53,6,0,RA BR,0,0.19,29.54,30.28,6.8,34,7.6
20,9/13/2012,88,72,80,66,71,0,15, ,0,0.02,29.37,30.05,1.8,32,8
1,9/14/2012,85,60,73,59,64,0,8,BR,0,0,30.03,30.17,5.5,21,5.6
2,9/14/2012,78,59,69,59,62,0,4, ,0,0,29.11,30.18,8.9,23,9.7
3,9/14/2012,62,57,60,59,59,5,0,RA DZ BR,0,0.54,29.49,30.21,8.9,36,9
4,9/14/2012,72,66,69,65,66,0,4,RA BR,0,0.83,29.49,30.16,3.3,35,4.9
6,9/14/2012,72,67,70,66,67,0,5,RA BR,0,1.41,29.64,30.15,8,36,8.2
7,9/14/2012,60,56,58,55,57,7,0,RA BR,0,0.04,28.86,30.24,11.4,1,11.5
8,9/14/2012,M,M,M,65,67,M,M,RA DZ HZ,0,M,M,#VALUE!,6.2,35,M
